2Layer1 ,2Layer2,two_week_comb,Shape_Area,Shape_Area,time_since_first,jaccard_1,Layer 1 ,Layer 2 ,one_week_comb,Shape_Area,Shape_Area,time_since_first,jaccard_2,Layer 1 ,Layer 2 ,three_week_comb,Shape_Area,Shape_Area,time_since_first,jaccard_3
June1_June15,June16_June30,two_week_1_2,0.000078,0.0104576899,1,0.007458626212,June1_June7,June8_June14,one_week_1_2,0.000333,0.0020506069,1,0.1623909487,June1_June23,June24_July16,three_week_1_2,0.00583,0.0153293766,1,0.3803155309
June1_June15,July1_July15,two_week_1_3,0.000744,0.013782505,2,0.05398147869,June1_June7,June15_June21,one_week_1_3,0,0.0028814139,2,0,June1_June23,July17_Aug8,three_week_1_3,0.00683,0.0160591654,2,0.4253023012
June1_June15,July16_July31,two_week_1_4,0.000676,0.0072475465,3,0.09327294416,June1_June7,June22_June28,one_week_1_4,0,0.003459836,3,0,June1_June23,Aug9_Aug31,three_week_1_4,0.005549,0.0153293766,3,0.3619847137
June1_June15,August1_August15,two_week_1_5,0.002183,0.0261852244,4,0.08336762621,June1_June7,June29_July5,one_week_1_5,0,0.003005729,4,0,June24_July16,July17_Aug8,three_week_2_3,0.011989,0.0160753403,1,0.745800697
June1_June15,August16_August30,two_week_1_6,0,0.0439187512,5,0,June1_June7,July6_July12,one_week_1_6,0,0.0043966114,5,0,June24_July16,Aug9_Aug31,three_week_2_4,0.010695,0.0598601792,2,0.1786663545
June16_June30,July1_July15,two_week_2_3,0.00729,0.0129936378,1,0.5610438056,June1_June7,July13_July19,one_week_1_7,0,0.0017391611,6,0,July17_Aug8,Aug9_Aug31,three_week_3_4,0.011084,0.0612015161,1,0.1811066246
June16_June30,July16_July31,two_week_2_4,0.001124,0.0125571801,2,0.08951054226,June1_June7,July20_July26,one_week_1_8,0,0.0026503288,7,0,,,,,,,
June16_June30,August1_August15,two_week_2_5,0.007742,0.0263843937,3,0.2934310368,June1_June7,July27_Aug2,one_week_1_9,0,0.0034062836,8,0,,,,,,,
June16_June30,August16_August30,two_week_2_6,0.00505,0.0446265309,4,0.113161384,June1_June7,Aug3_Aug9,one_week_1_10,0.0002,0.0112623808,9,0.01775823456,,,,,,,
July1_July15,July16_July31,two_week_3_4,0.004584,0.0130888513,1,0.3502217188,June1_June7,Aug10_Aug16,one_week_1_11,0.000068,0.0022045154,10,0.03084578134,,,,,,,
July1_July15,August1_August15,two_week_3_5,0.012048,0.0260691486,2,0.4621554844,June1_June7,Aug17_Aug23,one_week_1_12,0,0.0043123115,11,0,,,,,,,
July1_July15,August16_August30,two_week_3_6,0.005443,0.0482242842,3,0.1128684456,June1_June7,Aug24_Aug31,one_week_1_13,0,0.0293396546,12,0,,,,,,,
July16_July31,August1_August15,two_week_4_5,0.005535,0.0259795359,1,0.2130523048,June8_June14,June15_June21,one_week_2_3,0.000139,0.0040402266,1,0.0344040109,,,,,,,
July16_July31,August16_August30,two_week_4_6,0.001291,0.0457734087,2,0.02820414814,June8_June14,June22_June28,one_week_2_4,0,0.0047577634,2,0,,,,,,,
August1_August15,August16_August30,two_week_5_6,0.013306,0.0542037858,1,0.2454810085,June8_June14,June29_July5,one_week_2_5,0,0.0043036563,3,0,,,,,,,
,,,,,,,June8_June14,July6_July12,one_week_2_6,0.00052,0.0051749494,4,0.1004840743,,,,,,,
,,,,,,,June8_June14,July13_July19,one_week_2_7,0.000354,0.0026830069,5,0.1319415168,,,,,,,
,,,,,,,June8_June14,July20_July26,one_week_2_8,0.000303,0.0036449038,6,0.083129766,,,,,,,
,,,,,,,June8_June14,July27_Aug2,one_week_2_9,0,0.004704211,7,0,,,,,,,
,,,,,,,June8_June14,Aug3_Aug9,one_week_2_10,0.001265,0.0114962686,8,0.1100357032,,,,,,,
,,,,,,,June8_June14,Aug10_Aug16,one_week_2_11,0.000098,0.0034722744,9,0.02822357588,,,,,,,
,,,,,,,June8_June14,Aug17_Aug23,one_week_2_12,0,0.0056102388,10,0,,,,,,,
,,,,,,,June8_June14,Aug24_Aug31,one_week_2_13,0,0.030637582,11,0,,,,,,,
,,,,,,,June15_June21,June22_June28,one_week_3_4,0.000002,0.0052538219,1,0.0003806752566,,,,,,,
,,,,,,,June15_June21,June29_July5,one_week_3_5,0,0.0048014771,2,0,,,,,,,
,,,,,,,June15_June21,July6_July12,one_week_3_6,0.002164,0.0040278663,3,0.5372571577,,,,,,,
,,,,,,,June15_June21,July13_July19,one_week_3_7,0,0.0035349092,4,0,,,,,,,
,,,,,,,June15_June21,July20_July26,one_week_3_8,0.00001,0.0044363882,5,0.00225408588,,,,,,,
,,,,,,,June15_June21,July27_Aug2,one_week_3_9,0.000069,0.0051331053,6,0.01344215557,,,,,,,
,,,,,,,June15_June21,Aug3_Aug9,one_week_3_10,0.002339,0.0109200157,7,0.2141938312,,,,,,,
,,,,,,,June15_June21,Aug10_Aug16,one_week_3_11,0,0.0040680337,8,0,,,,,,,
,,,,,,,June15_June21,Aug17_Aug23,one_week_3_12,0,0.0061080596,9,0,,,,,,,
,,,,,,,June15_June21,Aug24_Aug31,one_week_3_13,0.000117,0.0310183035,10,0.003771966446,,,,,,,
,,,,,,,June22_June28,June29_July5,one_week_4_5,0.001738,0.0036418698,1,0.4772273847,,,,,,,
,,,,,,,June22_June28,July6_July12,one_week_4_6,0.000184,0.0065871963,2,0.02793297658,,,,,,,
,,,,,,,June22_June28,July13_July19,one_week_4_7,0,0.0041133314,3,0,,,,,,,
,,,,,,,June22_June28,July20_July26,one_week_4_8,0,0.0050244991,4,0,,,,,,,
,,,,,,,June22_June28,July27_Aug2,one_week_4_9,0.001885,0.0038952496,5,0.4839227761,,,,,,,
,,,,,,,June22_June28,Aug3_Aug9,one_week_4_10,0.000501,0.0133364644,6,0.03756617833,,,,,,,
,,,,,,,June22_June28,Aug10_Aug16,one_week_4_11,0,0.0046464559,7,0,,,,,,,
,,,,,,,June22_June28,Aug17_Aug23,one_week_4_12,0,0.0066864817,8,0,,,,,,,
,,,,,,,June22_June28,Aug24_Aug31,one_week_4_13,0.002917,0.0287968218,9,0.1012959006,,,,,,,
,,,,,,,June29_July5,July6_July12,one_week_5_6,0,0.0063162232,1,0,,,,,,,
,,,,,,,June29_July5,July13_July19,one_week_5_7,0,0.0036592244,2,0,,,,,,,
,,,,,,,June29_July5,July20_July26,one_week_5_8,0,0.004570392,3,0,,,,,,,
,,,,,,,June29_July5,July27_Aug2,one_week_5_9,0.001312,0.0040139645,4,0.3268588947,,,,,,,
,,,,,,,June29_July5,Aug3_Aug9,one_week_5_10,0.00093,0.0124525263,5,0.0746836407,,,,,,,
,,,,,,,June29_July5,Aug10_Aug16,one_week_5_11,0,0.0041923488,6,0,,,,,,,
,,,,,,,June29_July5,Aug17_Aug23,one_week_5_12,0,0.0062323747,7,0,,,,,,,
,,,,,,,June29_July5,Aug24_Aug31,one_week_5_13,0.002463,0.0287968218,8,0.08553027196,,,,,,,
,,,,,,,July6_July12,July13_July19,one_week_6_7,0,0.0050501068,1,0,,,,,,,
,,,,,,,July6_July12,July20_July26,one_week_6_8,0.000713,0.0052487719,2,0.1358413003,,,,,,,
,,,,,,,July6_July12,July27_Aug2,one_week_6_9,0.000471,0.006246725,3,0.07539950934,,,,,,,
,,,,,,,July6_July12,Aug3_Aug9,one_week_6_10,0.000471,0.0111508024,4,0.04223911277,,,,,,,
,,,,,,,July6_July12,Aug10_Aug16,one_week_6_11,0,0.0055832313,5,0,,,,,,,
,,,,,,,July6_July12,Aug17_Aug23,one_week_6_12,0,0.0076232571,6,0,,,,,,,
,,,,,,,July6_July12,Aug24_Aug31,one_week_6_13,0.000341,0.0323098828,7,0.01055404633,,,,,,,
