ten_day_comb,Shape_Area,Shape_Area,time_since_first,jaccard_4,18_day_combinations,Shape_Area,Shape_Area,jaccard,time_since
1_2,0.000046,0.0002816404,1,0.1633288406,1_2,0.000241,0.0004700078,0.5127574479,1
1_3,0.000089,0.000359475,2,0.2475832812,1_3,0.000092,0.0003336192,0.2757635052,2
1_4,0.000072,0.0002574309,3,0.2796867043,1_4,0.000169,0.0003566111,0.4739056075,3
1_5,0.000005,0.0001878868,4,0.02661176836,1_5,0.00012,0.0009809075,0.1223356942,4
1_6,0.000006,0.0001574312,5,0.03811188634,2_3,0.000098,0.0003843957,0.2549456198,1
1_7,0.000034,0.000286749,6,0.1185705966,2_4,0.000186,0.000396283,0.4693615421,2
1_8,0.000003,0.000135446,7,0.02214904833,2_5,0.000222,0.000396283,0.5602057116,3
1_9,0.000015,0.0008817167,8,0.01701226709,3_4,0.000098,0.0001986143,0.4934186511,1
2_3,0.000171,0.0003588756,1,0.4764882316,3_5,0.000088,0.0007838396,0.112267867,2
2_4,0.00014,0.0002705095,2,0.5175418978,4_5,0.000136,0.0008365668,0.1625692055,1
2_5,0.000066,0.0002086587,3,0.3163060059,,,,,
2_6,0.00004,0.0002042745,4,0.1958149451,,,,,
2_7,0.000159,0.0002431255,5,0.6539832309,,,,,
2_8,0.000015,0.0002042745,6,0.07343060441,,,,,
2_9,0.000113,0.0008658119,7,0.1305133367,,,,,
3_4,0.000176,0.0003563098,1,0.4939521731,,,,,
3_5,0.000068,0.000327643,2,0.207542966,,,,,
3_6,0.00004,0.0003255087,3,0.1228845804,,,,,
3_7,0.000178,0.0003457524,4,0.5148192753,,,,,
3_8,0.000015,0.0003255087,5,0.04608171763,,,,,
3_9,0.000215,0.0008849226,6,0.2429591017,,,,,
4_5,0.000067,0.0002101046,1,0.3188887821,,,,,
4_6,0.000037,0.0002096524,2,0.1764825969,,,,,
4_7,0.000144,0.0002609048,3,0.5519254533,,,,,
4_8,0.000015,0.0002063656,4,0.07268653303,,,,,
4_9,0.000114,0.0008662065,5,0.1316083405,,,,,
5_6,0.000027,0.0000839146,1,0.3217556897,,,,,
5_7,0.00007,0.0001983288,2,0.3529492439,,,,,
5_8,0.000008,0.0000774824,3,0.103249254,,,,,
5_9,0.000061,0.0007831982,4,0.07788577655,,,,,
6_7,0.00004,0.0001983288,1,0.2016852822,,,,,
6_8,0.00001,0.0000456851,2,0.2188897474,,,,,
6_9,0.000036,0.0007789666,3,0.0462150752,,,,,
7_8,0.000015,0.0001983344,1,0.07562984535,,,,,
7_9,0.000136,0.0008362813,2,0.1626247053,,,,,
8_9,0.000014,0.0007750822,1,0.01806260033,,,,,
