Type,Shape_Area,,one_week_combinations ,intersect,union,jaccard,weeks between comparison,,two_week_combinations,intersect,union,jaccard,number of two weeks between comparison,,three_week_combinations,intersect,union,jaccard,number of three weeks between comparison
one_week_1,0.002622,,1_2,0.000353,0.0048693032,0.07249497218,1,,1_2,0,0.0152470708,0,1,,1_2,0.010209,0.0198423379,0.5145059041,1
one_week_2,0.0026,,1_3,0,0.0093942126,0,2,,1_3,0.001256,0.0136251548,0.09218243891,2,,1_3,0.012834,0.0293902836,0.4366749289,2
one_week_3,0.006772,,1_4,0,0.0034674854,0,3,,1_4,0.003053,0.0156140394,0.1955291595,3,,1_4,0.002209,0.0452977146,0.04876625718,3
one_week_4,0.000845,,1_5,0,0.0027470736,0,4,,1_5,0,0.026158202,0,4,,2_3,0.009628,0.0248312503,0.3877372216,1
one_week_5,0.000125,,1_6,0,0.010972917,0,5,,1_6,0,0.0156140394,0,5,,2_4,0.001206,0.0385356574,0.03129569031,2
one_week_6,0.008351,,1_7,0,0.0026791381,0,6,,2_3,0.003366,0.0143536208,0.2345052894,1,,3_4,0.004235,0.0476792616,0.08882268428,
one_week_7,0.000057,,1_8,0.000122,0.0054806681,0.02226005986,7,,2_4,0.008388,0.0180487994,0.4647400536,2,,,,,,
one_week_8,0.002981,,1_9,0,0.0129091866,0,8,,2_5,0.005575,0.0234211111,0.2380331136,3,,,,,,
one_week_9,0.010287,,1_10,0,0.013360794,0,9,,2_6,0,0.0184519245,0,4,,,,,,
one_week_10,0.010739,,1_11,0,0.0068863586,0,10,,3_4,0.007162,0.0189092726,0.378755976,1,,,,,,
one_week_11,0.004264,,1_12,0,0.0088129753,0,11,,3_5,0.001084,0.0275470581,0.03935084451,2,,,,,,
one_week_12,0.006191,,1_13,0,0.0088129753,0,12,,3_6,0,0.018086441,0,3,,,,,,
one_week_13,0.001131,,2_3,0.000213,0.0091596938,0.02325405244,1,,4_5,0.007743,0.0296048379,0.2615450902,1,,,,,,
,,,2_4,0,0.0034455723,0,2,,4_6,0,0.0268036603,0,2,,,,,,
,,,2_5,0,0.0027251605,0,3,,5_6,0,0.0293630557,0,1,,,,,,
two_week_1,0.006205,,2_6,0.000492,0.0104585523,0.04704283976,4,,,,,,,,,,,,
two_week_2,0.009042,,2_7,0,0.002657225,0,5,,,,,,,,,,,,
two_week_3,0.008677,,2_8,0.0016,0.0039806678,0.4019426087,6,,,,,,,,,,,,
two_week_4,0.017394,,2_9,0,0.0128872735,0,7,,,,,,,,,,,,
two_week_5,0.019954,,2_10,0,0.013338881,0,8,,,,,,,,,,,,
two_week_6,0.009409,,2_11,0,0.0068644456,0,9,,,,,,,,,,,,
,,,2_12,0,0.0087910622,0,10,,,,,,,,,,,,
three_week_1,0.018908,,2_13,0,0.0037310849,0,11,,,,,,,,,,,,
three_week_2,0.011143,,3_4,0.000115,0.0075028131,0.01532758426,1,,,,,,,,,,,,
three_week_3,0.023316,,3_5,0.000125,0.0067720935,0.0184581031,2,,,,,,,,,,,,
three_week_4,0.028598,,3_6,0.004704,0.0104191035,0.451478383,3,,,,,,,,,,,,
,,,3_7,0,0.0068291125,0,4,,,,,,,,,,,,
,,,3_8,0.000677,0.0090760504,0.07459191721,5,,,,,,,,,,,,
,,,3_9,0.000677,0.0141910409,0.04770615523,6,,,,,,,,,,,,
,,,3_10,0.001685,0.0158259368,0.1064707904,7,,,,,,,,,,,,
,,,3_11,0,0.011036333,0,8,,,,,,,,,,,,
,,,3_12,0,0.0129629496,0,9,,,,,,,,,,,,
,,,3_13,0,0.0079029724,0,10,,,,,,,,,,,,
,,,4_5,0.000006,0.0009638674,0.00622492264,1,,,,,,,,,,,,
,,,4_6,0.0000000001,0.0091959517,0.00000001087435029,2,,,,,,,,,,,,
,,,4_7,0,0.0009023852,0,3,,,,,,,,,,,,
,,,4_8,0,0.003826297,0,4,,,,,,,,,,,,
,,,4_9,0.00029,0.0108427182,0.02674606078,5,,,,,,,,,,,,
,,,4_10,0.000845,0.0107386749,0.07868754831,6,,,,,,,,,,,,
,,,4_11,0,0.0051096057,0,7,,,,,,,,,,,,
,,,4_12,0,0.0070362224,0,8,,,,,,,,,,,,
,,,4_13,0,0.0019762451,0,9,,,,,,,,,,,,
,,,5_6,0.000114,0.0083618397,0.01363336348,1,,,,,,,,,,,,
,,,5_7,0,0.0001819734,0,2,,,,,,,,,,,,
,,,5_8,0,0.0031058852,0,3,,,,,,,,,,,,
,,,5_9,0.000114,0.0102870674,0.01108187548,4,,,,,,,,,,,,
,,,5_10,0.000125,0.0107386749,0.01164016987,5,,,,,,,,,,,,
,,,5_11,0,0.004389194,0,6,,,,,,,,,,,,
,,,5_12,0,0.0063158106,0,7,,,,,,,,,,,,
,,,5_13,0,0.0012558333,0,8,,,,,,,,,,,,
,,,6_7,0.000003,0.0084045938,0.0003569476493,1,,,,,,,,,,,,
,,,6_8,0.001332,0.0099998332,0.1332022218,2,,,,,,,,,,,,
,,,6_9,0.001721,0.0169164654,0.1017352005,3,,,,,,,,,,,,
,,,6_10,0.00087,0.0182195891,0.04775080246,4,,,,,,,,,,,,
,,,6_11,0,0.0126150374,0,5,,,,,,,,,,,,
,,,6_12,0,0.014541654,0,6,,,,,,,,,,,,
,,,6_13,0,0.0094816767,0,7,,,,,,,,,,,,
,,,7_8,0.000044,0.0029939973,0.01469607204,1,,,,,,,,,,,,
,,,7_9,0,0.0103440864,0,2,,,,,,,,,,,,
,,,7_10,0,0.0107956939,0,3,,,,,,,,,,,,
,,,7_11,0,0.0043212585,0,4,,,,,,,,,,,,
,,,7_12,0,0.0062478751,0,5,,,,,,,,,,,,
,,,7_13,0,0.0011878978,0,6,,,,,,,,,,,,
,,,8_9,0.000003,0.0132650055,0.0002261589714,1,,,,,,,,,,,,
,,,8_10,0,0.0137196057,0,2,,,,,,,,,,,,
,,,8_11,0,0.0072451703,0,3,,,,,,,,,,,,
,,,8_12,0,0.0091717869,0,4,,,,,,,,,,,,
,,,8_13,0,0.0041118096,0,5,,,,,,,,,,,,
