Layer 1 ,Layer 2 ,ten_day_comb,Shape_Area,Shape_Area,time_since_first,jaccard_4,Layer 1 ,Layer 2 ,Shape_Area,Shape_Area,two_week_comb,time_since_first,jaccard_1,Layer 1 ,Layer 2 ,Shape_Area,Shape_Area,one_week_comb,time_since_first,jaccard_2,Layer 1 ,Layer 2 ,three_week_comb,Shape_Area,Shape_Area,time_since_first,jaccard_3,18_day_combinations,Layer1,Layer2,Shape_Area,Shape_Area,jaccard,time_since
June1_June10,June11_June20,1_2,0.005191,0.008374512,1,0.6198570138,June1_June15,June16_June30,0.000005,0.008359,two_week_1_2,1,0.0005981576744,June1_June7,June8_June14,0.005391,0.008342,one_week_1_2,1,0.6462479022,June1_June23,June24_July16,three_week_1_2,0.00111,0.00857,1,0.1295215869,1_2,June1_June18,June19_July6,0.000011,0.008437,0.001303780965,1
June1_June10,June21_June30,1_3,0,0.0077872392,2,0,June1_June15,July1_July15,0.001044,0.007486,two_week_1_3,2,0.1394603259,June1_June7,June15_June21,0.000006,0.007793,one_week_1_3,2,0.0007699217246,June1_June23,July17_Aug8,three_week_1_3,0.003426,0.019293,2,0.1775773597,1_3,June1_June18,July7_July25,0.003723,0.019247,0.1934327428,2
June1_June10,July1_July10,1_4,0.000941,0.0080215442,3,0.1173090837,June1_June15,July16_July31,0.003176,0.019228,two_week_1_4,3,0.1651757853,June1_June7,June22_June28,0,0.007787,one_week_1_4,3,0,June1_June23,Aug9_Aug31,three_week_1_4,0.004926,0.057315,3,0.08594608741,1_4,June1_June18,July26_Aug13,0.00137,0.025343,0.05405831985,3
June1_June10,July11_July20,1_5,0.00177,0.0143634153,4,0.1232297447,June1_June15,August1_August15,0.001299,0.028654,two_week_1_5,4,0.04533398478,June1_June7,June29_July5,0.000001,0.007795,one_week_1_5,4,0.0001282873637,June24_July16,July17_Aug8,three_week_2_3,0.001138,0.014394,1,0.07906071974,1_5,June1_June18,Aug14_31,0.000003,0.03247,0.00009239297813,4
June1_June10,July21_July31,1_6,0.000587,0.0122448922,5,0.04793835588,June1_June15,August16_August30,0.000001,0.030617,two_week_1_6,5,0.00003266159323,June1_June7,July6_July12,0.000974,0.00802,one_week_1_6,5,0.121446384,June24_July16,Aug9_Aug31,three_week_2_4,0.001248,0.053809,2,0.02319314613,2_3,June19_July6,July7_July25,0.000014,0.014539,0.000962927299,1
June1_June10,Aug1_Aug10,1_7,0.001159,0.0180949155,6,0.06405114188,June16_June30,July1_July15,0.000005,0.001218,two_week_2_3,1,0.004105090312,June1_June7,July13_July19,0.001579,0.014354,one_week_1_7,6,0.11000418,July17_Aug8,Aug9_Aug31,three_week_3_4,0.014286,0.0533809,1,0.267623813,2_4,June19_July6,July26_Aug13,0.000015,0.018279,0.0008206138191,2
June1_June10,Aug11_Aug20,1_8,0,0.0108143097,7,0,June16_June30,July16_July31,0.000006,0.014047,two_week_2_4,2,0.0004271374671,June1_June7,July20_July26,0.000264,0.011964,one_week_1_8,7,0.0220661986,,,,,,,,2_5,June19_July6,Aug14_Aug31,0.000002,0.024055,0.00008314279776,3
June1_June10,Aug21_Aug31,1_9,0,0.027370348,8,0,June16_June30,August1_August15,0.000006,0.021596,two_week_2_5,3,0.0002778292276,June1_June7,July27_Aug2,0.000514,0.008055,one_week_1_9,8,0.06381129733,,,,,,,,3_4,July7_July25,July26_Aug13,0.004788,0.028029,0.1708230761,1
June11_June20,June21_June30,2_3,0.000002,0.0057798563,1,0.0003460293641,June16_June30,August16_August30,0.000002,0.022263,two_week_2_6,4,0.0000898351525,June1_June7,Aug3_Aug9,0.000514,0.01422,one_week_1_10,9,0.03614627286,,,,,,,,3_5,July7_July25,Aug14_31,0.000009,0.038571,0.000233335926,2
June11_June20,July1_July10,2_4,0.001044,0.0059118176,2,0.1765954349,July1_July15,July16_July31,0.001019,0.014243,two_week_3_4,1,0.07154391631,June1_June7,Aug10_Aug16,0,0.013069,one_week_1_11,10,0,,,,,,,,4_5,July26_Aug13,Aug14_31,0.008502,0.033819,0.2513971436,1
June11_June20,July11_July20,2_5,0.002169,0.0119578994,3,0.1813863729,July1_July15,August1_August15,0.001044,0.023467,two_week_3_5,2,0.04448800443,June1_June7,Aug17_Aug23,0,0.011353,one_week_1_12,11,0,,,,,,,,,,,,,,
June11_June20,July21_July31,2_6,0.000762,0.0100636558,4,0.07571801094,July1_July15,August16_August30,0.000008,0.030911,two_week_3_6,3,0.0002588075442,June1_June7,Aug24_Aug31,0,0.014125,one_week_1_13,12,0,,,,,,,,,,,,,,
June11_June20,Aug1_Aug10,2_7,0.001365,0.0158824598,5,0.0859438662,July16_July31,August1_August15,0.000006,0.032687,two_week_4_5,1,0.0001835592131,June8_June14,June15_June21,0.00001,0.00595,one_week_2_3,1,0.001680672269,,,,,,,,,,,,,,
June11_June20,Aug11_Aug20,2_8,0,0.008808017,6,0,July16_July31,August16_August30,0.000002,0.036298,two_week_4_6,2,0.00005509945452,June8_June14,June22_June28,0.00001,0.005948,one_week_2_4,2,0.001681237391,,,,,,,,,,,,,,
