ten_day_comb,Shape_Area,Shape_Area,time_since_first,jaccard_4,18_day_combinations,Shape_Area,Shape_Area,jaccard,time_since
1_2,0,0.005685771,1,0,1_2,0,0.0114950032,0,1
1_3,0,0.004542942,2,0,1_3,0.002943,0.0084451424,0.3484843547,2
1_4,0,0.0063234175,3,0,1_4,0.00389,0.0258151861,0.1506864984,3
1_5,0,0.0053388832,4,0,1_5,0,0.0536218974,0,4
1_6,0,0.0034880133,5,0,2_3,0.00389,0.0136406567,0.2851768859,1
1_7,0.000596,0.0149018278,6,0.03999509376,2_4,0.006937,0.0260352964,0.2664459775,2
1_8,0,0.0028857882,7,0,2_5,0.005578,0.0513114306,0.1087087211,3
1_9,0,0.0451950763,8,0,3_4,0.007185,0.0256806993,0.2797821008,1
2_3,0,0.0090731898,1,0,3_5,0.000826,0.0559565152,0.01476146249,2
2_4,0.000358,0.0104953949,2,0.03411019818,4_5,0.014236,0.0608638347,0.2338991631,1
2_5,0.003574,0.0062948878,3,0.5677623039,,,,,
2_6,0.001163,0.006854834,4,0.169661293,,,,,
2_7,0.005244,0.014783691,5,0.3547152061,,,,,
2_8,0,0.007416036,6,0,,,,,
2_9,0.000002,0.0497237841,7,0.00004022220022,,,,,
3_4,0.002562,0.0068765494,1,0.3725705802,,,,,
3_5,0,0.0084540116,2,0,,,,,
3_6,0.000646,0.0059567175,3,0.1084489906,,,,,
3_7,0.002699,0.0159135496,4,0.1696038953,,,,,
3_8,0,0.0060009165,5,0,,,,,
3_9,0.003827,0.0444828101,6,0.08603323377,,,,,
4_5,0.000012,0.0102222851,1,0.001173905823,,,,,
4_6,0.00047,0.0079134275,2,0.05939272205,,,,,
4_7,0.005412,0.0149815653,3,0.3612439616,,,,,
4_8,0,0.007781392,4,0,,,,,
4_9,0.004168,0.0459229429,5,0.09076073389,,,,,
5_6,0.000745,0.0066545548,1,0.1119533947,,,,,
5_7,0.004338,0.0150706405,2,0.287844435,,,,,
5_8,0,0.0067968578,3,0,,,,,
5_9,0,0.0491061459,4,0,,,,,
6_7,0.002751,0.0148065108,1,0.1857966429,,,,,
6_8,0,0.0049459879,2,0,,,,,
6_9,0.000936,0.0463190961,3,0.02020764822,,,,,
7_8,0,0.0169555723,1,0,,,,,
7_9,0.004825,0.0544397324,2,0.08863011972,,,,,
8_9,0,0.0466530508,1,0,,,,,
