Layer 1 ,Layer 2 ,Shape_Area,Shape_Area,two_week_comb,time_since_first,jaccard_1,Layer 1 ,Layer 2 ,Shape_Area,Shape_Area,one_week_comb,time_since_first,jaccard_2,Layer 1 ,Layer 2 ,three_week_comb,Shape_Area,Shape_Area,time_since_first,jaccard_3,Layer 1 ,Layer 2 ,ten_day_comb,Shape_Area,Shape_Area,time_since_first,jaccard_4,18_day_combinations,Layer1,Layer2,Shape_Area,Shape_Area,jaccard,time_since
June1_June15,June16_June30,0.00066,0.013758,two_week_1_2,1,0.04797208897,June1_June7,June8_June14,0.000563,0.002694,one_week_1_2,1,0.208982925,June1_June23,June24_July16,three_week_1_2,0.00251,0.016069,1,0.1562013815,June1_June10,June11_June20,1_2,0.000359,0.003031,1,0.1184427582,1_2,June1_June18,June19_July6,0.001433,0.015964,0.08976447006,1
June1_June15,July1_July15,0.001587,0.005724,two_week_1_3,2,0.2772536688,June1_June7,June15_June21,0.000206,0.003043,one_week_1_3,2,0.06769635228,June1_June23,July17_Aug8,three_week_1_3,0.003467,0.01015,2,0.3415763547,June1_June10,June21_June30,1_3,0.000427,0.013418,2,0.03182292443,1_3,June1_June18,July7_July25,0.001066,0.004862,0.2192513369,2
June1_June15,July16_July31,0.000825,0.0005971,two_week_1_4,3,1.381678111,June1_June7,June22_June28,0.000177,0.005976,one_week_1_4,3,0.0296184739,June1_June23,Aug9_Aug31,three_week_1_4,0.003476,0.04371,3,0.07952413635,June1_June10,July1_July10,1_4,0.001524,0.005585,3,0.272873769,1_4,June1_June18,July26_Aug13,0.002811,0.039625,0.07094006309,3
June1_June15,August1_August15,0.002691,0.035638,two_week_1_5,4,0.07550928784,June1_June7,June29_July5,0.001085,0.012519,one_week_1_5,4,0.08666826424,June24_July16,July17_Aug8,three_week_2_3,0.003221,0.22022,1,0.01462628281,June1_June10,July11_July20,1_5,0.000947,0.004009,4,0.2362185084,1_5,June1_June18,Aug14_31,0.002811,0.035693,0.07875493794,4
June1_June15,August16_August30,0.002138,0.012279,two_week_1_6,5,0.1741184136,June1_June7,July6_July12,0.000507,0.002582,one_week_1_6,5,0.1963594113,June24_July16,Aug9_Aug31,three_week_2_4,0.005256,0.053556,2,0.0981402644,June1_June10,July21_July31,1_6,0.000213,0.005514,5,0.0386289445,2_3,June19_July6,July7_July25,0.000138,0.017564,0.007856980187,1
June16_June30,July1_July15,0.000778,0.015387,two_week_2_3,1,0.05056216286,June1_June7,July13_July19,0.000887,0.003757,one_week_1_7,6,0.2360926271,July17_Aug8,Aug9_Aug31,three_week_3_4,0.007901,0.045951,1,0.1719440273,June1_June10,Aug1_Aug10,1_7,0.002576,0.015822,6,0.1628112754,2_4,June19_July6,July26_Aug13,0.004208,0.050003,0.0841549507,2
June16_June30,July16_July31,0,0.01565,two_week_2_4,2,0,June1_June7,July20_July26,0.000002,0.004108,one_week_1_8,7,0.0004868549172,,,,,,,,June1_June10,Aug11_Aug20,1_8,0,0.017894,7,0,2_5,June19_July6,Aug14_Aug31,0.003892,0.046387,0.0839028176,3
June16_June30,August1_August15,0.002037,0.045146,two_week_2_5,3,0.04512027644,June1_June7,July27_Aug2,0.00251,0.007273,one_week_1_9,8,0.3451120583,,,,,,,,June1_June10,Aug21_Aug31,1_9,0.001322,0.007456,8,0.177306867,3_4,July7_July25,July26_Aug13,0.003116,0.039625,0.07863722397,1
June16_June30,August16_August30,0.000522,0.022744,two_week_2_6,4,0.02295110798,June1_June7,Aug3_Aug9,0.000381,0.007273,one_week_1_10,9,0.05238553554,,,,,,,,June11_June20,June21_June30,2_3,0.000582,0.011378,1,0.0511513447,3_5,July7_July25,Aug14_31,0.001791,0.037018,0.04838186828,2
July1_July15,July16_July31,0.000262,0.008274,two_week_3_4,1,0.03166545806,June1_June7,Aug10_Aug16,0,0.007273,one_week_1_11,10,0,,,,,,,,June11_June20,July1_July10,2_4,0.000214,0.005011,2,0.0427060467,4_5,July26_Aug13,Aug14_31,0.030445,0.044874,0.6784552302,1
July1_July15,August1_August15,0.003236,0.03684,two_week_3_5,2,0.0878393051,June1_June7,Aug17_Aug23,0,0.007273,one_week_1_12,11,0,,,,,,,,June11_June20,July11_July20,2_5,0.000214,0.003059,3,0.06995750245,,,,,,,
July1_July15,August16_August30,0.001043,0.01512,two_week_3_6,3,0.06898148148,June1_June7,Aug24_Aug31,0.001255,0.005797,one_week_1_13,12,0.2164912886,,,,,,,,June11_June20,July21_July31,2_6,0.000214,0.003842,4,0.05570015617,,,,,,,
July16_July31,August1_August15,0.001374,0.040827,two_week_4_5,1,0.03365419943,June8_June14,June15_June21,0.000678,0.004673,one_week_2_3,1,0.145088808,,,,,,,,June11_June20,Aug1_Aug10,2_7,0.000214,0.015933,5,0.01343124333,,,,,,,
July16_July31,August16_August30,0.001801,0.013847,two_week_4_6,2,0.1300642738,June8_June14,June22_June28,0.00025,0.004673,one_week_2_4,2,0.05349882303,,,,,,,,June11_June20,Aug11_Aug20,2_8,0.000214,0.016009,6,0.01336748079,,,,,,,
August1_August15,August16_August30,0.005951,0.041231,two_week_5_6,1,0.1443331474,June8_June14,June29_July5,0.000282,0.01142,one_week_2_5,3,0.02469352014,,,,,,,,June11_June20,Aug21_Aug31,2_9,0.000214,0.006569,7,0.03257725681,,,,,,,
,,,,,,,June8_June14,July6_July12,0.000336,0.01142,one_week_2_6,4,0.02942206655,,,,,,,,June21_June30,July1_July10,3_4,0.000632,0.015049,1,0.04199614592,,,,,,,
,,,,,,,June8_June14,July13_July19,0.000174,0.01142,one_week_2_7,5,0.01523642732,,,,,,,,June21_June30,July11_July20,3_5,0.000632,0.013527,2,0.04672137207,,,,,,,
,,,,,,,June8_June14,July20_July26,0,0.002207,one_week_2_8,6,0,,,,,,,,June21_June30,July21_July31,3_6,0.000632,0.014298,3,0.04420198629,,,,,,,
,,,,,,,June8_June14,July27_Aug2,0.000678,0.002207,one_week_2_9,7,0.3072043498,,,,,,,,June21_June30,Aug1_Aug10,3_7,0.000632,0.025461,4,0.02482227721,,,,,,,
,,,,,,,June8_June14,Aug3_Aug9,0,0.002207,one_week_2_10,8,0,,,,,,,,June21_June30,Aug11_Aug20,3_8,0.000632,0.026465,5,0.02388059701,,,,,,,
,,,,,,,June8_June14,Aug10_Aug16,0,0.002207,one_week_2_11,9,0,,,,,,,,June21_June30,Aug21_Aug31,3_9,0.000632,0.017183,6,0.0367805389,,,,,,,
,,,,,,,June8_June14,Aug17_Aug23,0,0.004423,one_week_2_12,10,0,,,,,,,,July1_July10,July11_July20,4_5,0.004473,0.006502,1,0.6879421716,,,,,,,
,,,,,,,June8_June14,Aug24_Aug31,0.000478,0.004423,one_week_2_13,11,0.1080714447,,,,,,,,July1_July10,July21_July31,4_6,0.004473,0.007563,2,0.5914319714,,,,,,,
,,,,,,,June15_June21,June22_June28,0.000567,0.004414,one_week_3_4,1,0.1284549162,,,,,,,,July1_July10,Aug1_Aug10,4_7,0.004473,0.017837,3,0.2507708695,,,,,,,
,,,,,,,June15_June21,June29_July5,0.000142,0.004414,one_week_3_5,2,0.03217036701,,,,,,,,July1_July10,Aug11_Aug20,4_8,0.004473,0.01973,4,0.226710593,,,,,,,
,,,,,,,June15_June21,July6_July12,0.000068,0.004414,one_week_3_6,3,0.01540552787,,,,,,,,July1_July10,Aug21_Aug31,4_9,0.004473,0.010139,5,0.441167768,,,,,,,
,,,,,,,June15_June21,July13_July19,0,0.004414,one_week_3_7,4,0,,,,,,,,July11_July20,July21_July31,5_6,0.00029,0.003854,1,0.07524649715,,,,,,,
,,,,,,,June15_June21,July20_July26,0,0.004414,one_week_3_8,5,0,,,,,,,,July11_July20,Aug1_Aug10,5_7,0.00029,0.017026,2,0.01703277341,,,,,,,
,,,,,,,June15_June21,July27_Aug2,0.00066,0.004414,one_week_3_9,6,0.1495242411,,,,,,,,July11_July20,Aug11_Aug20,5_8,0.00029,0.017576,3,0.01649977242,,,,,,,
,,,,,,,June15_June21,Aug3_Aug9,0,0.004414,one_week_3_10,7,0,,,,,,,,July11_July20,Aug21_Aug31,5_9,0.00029,0.007034,4,0.04122831959,,,,,,,
,,,,,,,June15_June21,Aug10_Aug16,0,0.004414,one_week_3_11,8,0,,,,,,,,July21_July31,Aug1_Aug10,6_7,0,0.0184,1,0,,,,,,,
,,,,,,,June15_June21,Aug17_Aug23,0,0.004414,one_week_3_12,9,0,,,,,,,,July21_July31,Aug11_Aug20,6_8,0,0.018347,2,0,,,,,,,
,,,,,,,June15_June21,Aug24_Aug31,0.000233,0.004414,one_week_3_13,10,0.05278658813,,,,,,,,July21_July31,Aug21_Aug31,6_9,0,0.008326,3,0,,,,,,,
,,,,,,,June22_June28,June29_July5,0.000324,0.007317,one_week_4_5,1,0.0442804428,,,,,,,,Aug1_Aug10,Aug11_Aug20,7_8,0.002397,0.027823,1,0.08615174496,,,,,,,
,,,,,,,June22_June28,July6_July12,0.000049,0.007317,one_week_4_6,2,0.006696733634,,,,,,,,Aug1_Aug10,Aug21_Aug31,7_9,0.002397,0.019762,2,0.1212933914,,,,,,,
,,,,,,,June22_June28,July13_July19,0,0.007317,one_week_4_7,3,0,,,,,,,,Aug11_Aug20,Aug21_Aug31,8_9,0,0.021398,1,0,,,,,,,
,,,,,,,June22_June28,July20_July26,0,0.007317,one_week_4_8,4,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,June22_June28,July27_Aug2,0.000832,0.007317,one_week_4_9,5,0.1137078037,,,,,,,,,,,,,,,,,,,,,
,,,,,,,June22_June28,Aug3_Aug9,0,0.007317,one_week_4_10,6,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,June22_June28,Aug10_Aug16,0,0.007317,one_week_4_11,7,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,June22_June28,Aug17_Aug23,0,0.007317,one_week_4_12,8,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,June22_June28,Aug24_Aug31,0,0.007317,one_week_4_13,9,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,June29_July5,July6_July12,0.000096,0.014769,one_week_5_6,1,0.006500101564,,,,,,,,,,,,,,,,,,,,,
,,,,,,,June29_July5,July13_July19,0.000053,0.014769,one_week_5_7,2,0.003588597739,,,,,,,,,,,,,,,,,,,,,
,,,,,,,June29_July5,July20_July26,0,0.014769,one_week_5_8,3,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,June29_July5,July27_Aug2,0.001669,0.014769,one_week_5_9,4,0.1130069741,,,,,,,,,,,,,,,,,,,,,
,,,,,,,June29_July5,Aug3_Aug9,0.000354,0.014769,one_week_5_10,5,0.02396912452,,,,,,,,,,,,,,,,,,,,,
,,,,,,,June29_July5,Aug10_Aug16,0,0.014769,one_week_5_11,6,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,June29_July5,Aug17_Aug23,0,0.014769,one_week_5_12,7,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,June29_July5,Aug24_Aug31,0.000155,0.014769,one_week_5_13,8,0.01049495565,,,,,,,,,,,,,,,,,,,,,
,,,,,,,July6_July12,July13_July19,0.000304,0.004254,one_week_6_7,1,0.07146215327,,,,,,,,,,,,,,,,,,,,,
,,,,,,,July6_July12,July20_July26,0,0.004254,one_week_6_8,2,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,July6_July12,July27_Aug2,0.000509,0.004254,one_week_6_9,3,0.1196520921,,,,,,,,,,,,,,,,,,,,,
,,,,,,,July6_July12,Aug3_Aug9,0,0.004254,one_week_6_10,4,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,July6_July12,Aug10_Aug16,0,0.004254,one_week_6_11,5,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,July6_July12,Aug17_Aug23,0,0.004254,one_week_6_12,6,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,July6_July12,Aug24_Aug31,0.000469,0.004254,one_week_6_13,7,0.1102491772,,,,,,,,,,,,,,,,,,,,,
,,,,,,,July13_July19,July20_July26,0.001045,0.005808,one_week_7_8,1,0.1799242424,,,,,,,,,,,,,,,,,,,,,
,,,,,,,July13_July19,July27_Aug2,0.002063,0.005808,one_week_7_9,2,0.3551997245,,,,,,,,,,,,,,,,,,,,,
,,,,,,,July13_July19,Aug3_Aug9,0,0.005808,one_week_7_10,3,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,July13_July19,Aug10_Aug16,0,0.005808,one_week_7_11,4,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,July13_July19,Aug17_Aug23,0,0.005808,one_week_7_12,5,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,July13_July19,Aug24_Aug31,0.000956,0.005808,one_week_7_13,6,0.164600551,,,,,,,,,,,,,,,,,,,,,
,,,,,,,July20_July26,July27_Aug2,0.001495,0.007238,one_week_8_9,1,0.2065487704,,,,,,,,,,,,,,,,,,,,,
,,,,,,,July20_July26,Aug3_Aug9,0,0.004395,one_week_8_10,2,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,July20_July26,Aug10_Aug16,0,0.018205,one_week_8_11,3,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,July20_July26,Aug17_Aug23,0,0.005274,one_week_8_12,4,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,July20_July26,Aug24_Aug31,0.000044,0.005959,one_week_8_13,5,0.007383789226,,,,,,,,,,,,,,,,,,,,,
