ten_day_combinations,intersect,union,jacccard,time_since,18_day_combinations,intersect,union,jaccard,time_since
1_2,0.000261,0.016012274,0.01629999587,1,1_2,0.001609,0.0170225111,0.0945218946,1
1_3,0,0.0041418917,0,2,1_3,0.008766,0.0163497747,0.5361541771,2
1_4,0,0.0074393038,0,3,1_4,0.00512,0.0297613619,0.1720351379,3
1_5,0,0.0042269248,0,4,1_5,0,0.0279942497,0,4
1_6,0.000131,0.019820323,0.006609377657,5,2_3,0.000297,0.0140503187,0.02113831055,1
1_7,0,0.0149513687,0,6,2_4,0.00348,0.0206332054,0.1686601734,2
1_8,0,0.0138361979,0,7,2_5,0,0.0172260124,0,3
1_9,0,0.0070653139,0,8,3_4,0.003124,0.0274735507,0.1137093648,1
2_3,0.000085,0.0148965194,0.0057060309,1,3_5,0,0.0237095914,0,2
2_4,0.004099,0.0141800849,0.2890673807,2,4_5,0.00005,0.0334264057,0.001495823405,1
2_5,0.001344,0.0137230149,0.09793766237,3,,,,,
2_6,0.009952,0.0208386622,0.4775738435,4,,,,,
2_7,0.000734,0.0250574918,0.02929263654,5,,,,,
2_8,0,0.0246759181,0,6,,,,,
2_9,0,0.0179050341,0,7,,,,,
3_4,0.000115,0.0060324068,0.01906370108,1,,,,,
3_5,0,0.0029354147,0,2,,,,,
3_6,0.001425,0.0172345639,0.08268268395,3,,,,,
3_7,0.001411,0.0122490979,0.1151921563,4,,,,,
3_8,0,0.0125446878,0,5,,,,,
3_9,0,0.0057738038,0,6,,,,,
4_5,0.000001,0.0062326947,0.0001604442457,1,,,,,
4_6,0.003294,0.0186635748,0.1764935193,2,,,,,
4_7,0.000461,0.0164965344,0.02794526346,3,,,,,
4_8,0,0.0158420999,0,4,,,,,
4_9,0,0.0090712159,0,5,,,,,
5_6,0.001496,0.0172486495,0.08673142787,1,,,,,
5_7,0,0.0137448917,0,2,,,,,
5_8,0,0.0126297209,0,3,,,,,
5_9,0,0.0058588369,0,4,,,,,
6_7,0.007232,0.0222367526,0.3252273446,1,,,,,
6_8,0,0.0283540609,0,2,,,,,
6_9,0,0.0215831769,0,3,,,,,
7_8,0.000011,0.0233434602,0.0004712240561,1,,,,,
7_9,0,0.0165832808,0,2,,,,,
8_9,0.002379,0.013089098,0.1817543119,1,,,,,
